experiment,feature_set,features,q_low,q_high,config_name,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,rows_2565,accuracy_2566,f1_2566,rows_2566,status,error
163,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.33,0.66,RF_FULL,300,,2,1,sqrt,balanced,0.5537878787878788,0.4909090909090909,0.0628787878787879,0.4746216910844274,0.4909090909090909,0.3737891737891738,55,0.6166666666666667,0.5754542083796811,60,OK,
164,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.33,0.66,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5871212121212122,0.4909090909090909,0.09621212121212122,0.5022758747452852,0.4909090909090909,0.3737891737891738,55,0.6833333333333333,0.6307625757013966,60,OK,
165,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.33,0.66,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.6045454545454545,0.509090909090909,0.09545454545454546,0.5303025191183086,0.509090909090909,0.4078272604588394,55,0.7,0.6527777777777778,60,OK,
166,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.33,0.66,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5962121212121212,0.509090909090909,0.08712121212121215,0.5160509885265419,0.509090909090909,0.3933001658374793,55,0.6833333333333333,0.6388018112156043,60,OK,
167,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.33,0.66,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.6045454545454545,0.509090909090909,0.09545454545454546,0.5066210790189455,0.509090909090909,0.3634405707363037,55,0.7,0.6498015873015873,60,OK,
168,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.33,0.66,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.568939393939394,0.45454545454545453,0.11439393939393941,0.5125559193683132,0.45454545454545453,0.37572964669738856,55,0.6833333333333333,0.6493821920392379,60,OK,
169,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.33,0.66,RF_FULL,300,,2,1,sqrt,balanced,0.5166666666666666,0.4,0.11666666666666664,0.4675349629750478,0.4,0.3116478797638218,55,0.6333333333333333,0.6234220461862738,60,OK,
170,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.33,0.66,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.603030303030303,0.4727272727272727,0.13030303030303028,0.5473614088189998,0.4727272727272727,0.37911435202953375,55,0.7333333333333333,0.7156084656084657,60,OK,
171,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.33,0.66,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5590909090909091,0.41818181818181815,0.1409090909090909,0.49499126225183177,0.41818181818181815,0.31765027322404377,55,0.7,0.6723322512796197,60,OK,
172,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.33,0.66,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5333333333333333,0.4,0.1333333333333333,0.4749432549432549,0.4,0.30666666666666664,55,0.6666666666666666,0.6432198432198432,60,OK,
173,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.33,0.66,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5856060606060606,0.45454545454545453,0.13106060606060607,0.5203931966920082,0.45454545454545453,0.3479208963079931,55,0.7166666666666667,0.6928654970760233,60,OK,
174,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.33,0.66,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.5424242424242424,0.41818181818181815,0.12424242424242424,0.4945932968007607,0.41818181818181815,0.34012352177422184,55,0.6666666666666666,0.6490630718272995,60,OK,
175,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.33,0.66,RF_FULL,300,,2,1,sqrt,balanced,0.44772727272727275,0.34545454545454546,0.10227272727272729,0.38870349771350887,0.34545454545454546,0.24444444444444446,55,0.55,0.5329625509825733,60,OK,
176,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.33,0.66,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.47651515151515156,0.43636363636363634,0.04015151515151519,0.40215947391990947,0.43636363636363634,0.30054226475279106,55,0.5166666666666667,0.5037766830870279,60,OK,
177,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.33,0.66,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.4575757575757576,0.38181818181818183,0.07575757575757575,0.3826679961404819,0.38181818181818183,0.24249084249084252,55,0.5333333333333333,0.5228451497901213,60,OK,
178,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.33,0.66,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.4318181818181818,0.36363636363636365,0.06818181818181818,0.36129188265344453,0.36363636363636365,0.2334770114942529,55,0.5,0.4891067538126362,60,OK,
179,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.33,0.66,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5106060606060606,0.45454545454545453,0.05606060606060606,0.4143405205905206,0.45454545454545453,0.2735042735042735,55,0.5666666666666667,0.5551767676767677,60,OK,
180,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.33,0.66,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.4484848484848485,0.36363636363636365,0.08484848484848484,0.3926155912494711,0.36363636363636365,0.265478096079189,55,0.5333333333333333,0.5197530864197532,60,OK,
181,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.33,0.66,RF_FULL,300,,2,1,sqrt,balanced,0.5356060606060606,0.45454545454545453,0.08106060606060608,0.4706581828133552,0.45454545454545453,0.3518253968253968,55,0.6166666666666667,0.5894909688013136,60,OK,
182,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.33,0.66,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5537878787878788,0.4909090909090909,0.0628787878787879,0.47024413126108044,0.4909090909090909,0.3732193732193732,55,0.6166666666666667,0.5672688893027876,60,OK,
