experiment,feature_set,features,q_low,q_high,config_name,decision_name,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,accuracy_2566,f1_2566,status,error
140,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_105_MED_105,0.525,0.4,0.125,0.47084644219369076,0.4,0.3209235209235209,0.65,0.6207693634638606,OK,
141,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_BALANCED,P_NORMAL,0.5613636363636364,0.4727272727272727,0.08863636363636365,0.4726163189177649,0.4727272727272727,0.32676767676767676,0.65,0.6184649610678531,OK,
142,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_BALANCED,P_LOW_105,0.5613636363636364,0.4727272727272727,0.08863636363636365,0.4726163189177649,0.4727272727272727,0.32676767676767676,0.65,0.6184649610678531,OK,
143,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_BALANCED,P_LOW_110,0.5704545454545454,0.4909090909090909,0.07954545454545456,0.487148482660455,0.4909090909090909,0.35583200425305694,0.65,0.6184649610678531,OK,
144,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_BALANCED,P_MED_105,0.5537878787878788,0.4909090909090909,0.0628787878787879,0.47209421402969787,0.4909090909090909,0.35353535353535354,0.6166666666666667,0.5906530745240423,OK,
145,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_BALANCED,P_LOW_105_MED_105,0.5446969696969697,0.4727272727272727,0.07196969696969699,0.4587103756458595,0.4727272727272727,0.32676767676767676,0.6166666666666667,0.5906530745240423,OK,
146,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_NORMAL,0.5371212121212121,0.4909090909090909,0.04621212121212123,0.4684644522144522,0.4909090909090909,0.378974358974359,0.5833333333333334,0.5579545454545455,OK,
147,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_105,0.5280303030303031,0.4727272727272727,0.055303030303030326,0.453526180609514,0.4727272727272727,0.34909781576448246,0.5833333333333334,0.5579545454545455,OK,
148,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_110,0.5371212121212121,0.4909090909090909,0.04621212121212123,0.46631192881192884,0.4909090909090909,0.37466931216931215,0.5833333333333334,0.5579545454545455,OK,
149,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_MED_105,0.5189393939393939,0.45454545454545453,0.06439393939393942,0.44632328722002634,0.45454545454545453,0.33469202898550726,0.5833333333333334,0.5579545454545455,OK,
150,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_105_MED_105,0.5280303030303031,0.4727272727272727,0.055303030303030326,0.46263798701298703,0.4727272727272727,0.3673214285714286,0.5833333333333334,0.5579545454545455,OK,
